,tweet_id,favorites,retweets
79,877316821321428993,27336,5223
80,877201837425926144,27118,5648
81,876838120628539392,20649,3389
82,876537666061221889,23434,4649
83,876484053909872640,18751,2426
84,876120275196170240,27902,4730
85,875747767867523072,25196,4337
86,875144289856114688,21911,4970
87,875097192612077568,27420,6090
88,875021211251597312,25481,4760
89,874680097055178752,27850,4693
90,874434818259525634,0,14916
91,874296783580663808,26084,4155
92,874057562936811520,22665,3992
93,874012996292530176,34704,10581
94,873580283840344065,24268,3992
95,873337748698140672,0,1606
96,873213775632977920,7261,1606
97,872967104147763200,27416,5466
98,872820683541237760,14747,3737
99,872668790621863937,0,28
100,872620804844003328,20830,3759
101,872486979161796608,40799,9127
102,872261713294495745,34329,6424
103,872122724285648897,34573,8241
104,871879754684805121,38198,11384
105,871762521631449091,20330,3528
106,871515927908634625,20298,3510
107,871166179821445120,0,5786
108,871102520638267392,21021,5588
109,871032628920680449,22770,3870
110,870804317367881728,33827,6339
111,870726314365509632,120,3
112,870656317836468226,12500,2698
113,870374049280663552,83226,26743
114,870308999962521604,21962,4236
115,870063196459192321,36958,8528
116,869772420881756160,42751,10260
117,869702957897576449,28477,6465
118,869596645499047938,16116,3205
119,869227993411051520,20625,3879
120,868880397819494401,66300,14872
121,868639477480148993,0,2152
122,868622495443632128,27509,5915
123,868552278524837888,10269,2152
124,867900495410671616,24436,4285
125,867774946302451713,34398,7523
126,867421006826221569,16347,2587
127,867072653475098625,0,131
128,867051520902168576,32684,8104
129,866720684873056260,20371,4974
130,866686824827068416,19613,3596
131,866450705531457537,124152,36316
132,866334964761202691,53414,14916
133,866094527597207552,0,8647
134,865718153858494464,26008,5774
135,865359393868664832,26905,5163
136,865006731092295680,28464,7922
137,864873206498414592,32878,9019
138,864279568663928832,14881,3150
139,864197398364647424,30724,9273
140,863907417377173506,20999,4283
141,863553081350529029,15575,4324
142,863471782782697472,0,2564
143,863432100342583297,24259,5464
144,863427515083354112,2305,100
145,863079547188785154,8937,1141
146,863062471531167744,8704,2564
147,862831371563274240,19575,5271
148,862722525377298433,17430,3669
149,862457590147678208,20976,5150
150,862096992088072192,76236,24218
151,861383897657036800,36839,11116
152,861288531465048066,17572,4337
153,861005113778896900,17112,3968
154,860981674716409858,0,2252
155,860924035999428608,0,852
156,860563773140209665,7675,2252
157,860524505164394496,24165,5499
158,860276583193509888,18742,3625
159,860184849394610176,17088,6090
160,860177593139703809,0,32260
161,859924526012018688,20006,4280
162,859851578198683649,15769,3656
163,859607811541651456,19046,1644
164,859196978902773760,92336,31635
165,859074603037188101,34768,14225
166,858860390427611136,0,8505
167,858843525470990336,15948,3633
168,858471635011153920,22089,5069
169,858107933456039936,16155,3048
170,857989990357356544,16562,2706
171,857746408056729600,35216,11128
172,857393404942143489,6095,1715
173,857263160327368704,20582,4744
174,857214891891077121,236,20
175,857062103051644929,0,178
176,857029823797047296,19475,4207
177,856602993587888130,0,11251
178,856543823941562368,16769,3031
179,856526610513747968,12183,1981
180,856330835276025856,0,714
181,856288084350160898,532,17
182,856282028240666624,28528,6656
183,855862651834028034,359,28
184,855860136149123072,5148,1096
185,855857698524602368,12213,2236
186,855851453814013952,46873,18665
187,855818117272018944,27459,5753
188,855459453768019968,30969,8702
189,855245323840757760,0,6328
190,855138241867124737,0,49
191,854732716440526848,23657,6473
192,854482394044301312,30389,7311
193,854365224396361728,19600,4984
194,854120357044912130,33167,7966
195,854010172552949760,16793,3345
196,853760880890318849,29726,6169
197,853639147608842240,36307,10817
198,853299958564483072,16158,3801
199,852936405516943360,0,2163
200,852912242202992640,9425,1967
201,852672615818899456,15559,2298
202,852553447878664193,17085,3758
203,852311364735569921,34600,10589
204,852226086759018497,20890,7302
205,852189679701164033,11953,1690
206,851953902622658560,0,10334
207,851861385021730816,0,23
208,851591660324737024,16932,3710
209,851464819735769094,25385,7588
210,851224888060895234,21635,6147
211,850753642995093505,32518,9988
212,850380195714523136,13672,2801
213,850333567704068097,3582,357
214,850145622816686080,17119,4108
215,850019790995546112,21454,5274
216,849776966551130114,31970,8195
217,849668094696017920,0,5348
218,849412302885593088,16658,3382
219,849336543269576704,12004,2040
220,849051919805034497,44607,9196
221,848690551926992896,26499,4659
222,848324959059550208,26030,4965
223,848213670039564288,8599,808
224,848212111729840128,17199,3333
225,847978865427394560,0,3519
226,847971574464610304,0,464
227,847962785489326080,24736,5533
228,847842811428974592,5777,1456
229,847617282490613760,7386,454
230,847606175596138505,19754,3662
231,847251039262605312,21527,4635
232,847157206088847362,21075,6338
233,847116187444137987,22587,3452
234,846874817362120707,21183,4249
235,846514051647705089,47192,12577
236,846505985330044928,14951,3355
237,846153765933735936,33508,9824
238,846139713627017216,32583,10668
239,846042936437604353,16896,3126
240,845812042753855489,30975,9490
241,845677943972139009,26538,5190
242,845397057150107648,8060,1976
243,845306882940190720,24664,5854
244,845098359547420673,0,8334
245,844979544864018432,14433,2813
246,844973813909606400,16007,3495
247,844704788403113984,41005,11251
248,844580511645339650,17433,3413
249,844223788422217728,14425,2386
250,843981021012017153,16000,3177
251,843856843873095681,22668,5025
252,843604394117681152,17888,2984
253,843235543001513987,22774,6595
254,842846295480000512,16127,3904
255,842765311967449089,7155,1390
256,842535590457499648,19190,3811
257,842163532590374912,25985,6328
258,842115215311396866,14872,3293
259,841833993020538882,0,16807
260,841680585030541313,27208,8452
261,841439858740625411,13422,4012
262,841320156043304961,20967,5920
263,841314665196081154,16876,5139
264,841077006473256960,24342,5786
265,840761248237133825,0,1921
266,840728873075638272,0,17729
267,840698636975636481,192,3
268,840696689258311684,13086,1080
269,840632337062862849,9546,1921
270,840370681858686976,17504,4990
271,840268004936019968,20490,6266
272,839990271299457024,14288,2517
273,839549326359670784,29294,8505
274,839290600511926273,0,155
275,839239871831150596,28963,7178
276,838952994649550848,20890,4363
277,838921590096166913,11902,2275
278,838916489579200512,0,37
279,838831947270979586,0,12147
280,838561493054533637,11614,1455
281,838476387338051585,24103,5284
282,838201503651401729,0,11099
283,838150277551247360,1789,357
284,838085839343206401,147,0
285,838083903487373313,18792,3456
286,837820167694528512,36470,8647
287,837482249356513284,4095,486
288,837471256429613056,13658,2539
289,837366284874571778,22554,5810
290,837110210464448512,17086,2634
291,836989968035819520,13594,2518
292,836753516572119041,20518,5067
293,836677758902222849,13459,2439
294,836648853927522308,0,607
295,836397794269200385,0,30337
296,836380477523124226,15713,3235
297,836260088725786625,22688,4703
298,836001077879255040,20408,4729
299,835685285446955009,0,9007
300,835574547218894849,19011,3988
301,835536468978302976,0,1870
302,835309094223372289,0,23155
303,835297930240217089,17512,3287
304,835264098648616962,8298,1870
305,835246439529840640,2229,80
306,835172783151792128,27925,6324
307,835152434251116546,24014,3333
308,834931633769889797,11585,1816
309,834786237630337024,22569,6007
310,834574053763584002,14667,2793
311,834477809192075265,0,11751
312,834458053273591808,10279,1845
313,834209720923721728,22040,5286
314,834167344700198914,16844,4000
315,834089966724603904,10745,2350
316,834086379323871233,13959,2438
317,833863086058651648,14349,2656
318,833826103416520705,16404,3790
319,833732339549220864,0,241
320,833722901757046785,22113,3529
321,833479644947025920,15924,2281
322,833124694597443584,21627,5348
323,832998151111966721,14252,2448
324,832769181346996225,0,42
325,832757312314028032,18012,3994
326,832682457690300417,12718,3246
327,832645525019123713,3126,574
328,832636094638288896,16993,3086
329,832397543355072512,12810,2464
330,832369877331693569,18381,3518
331,832273440279240704,12112,2580
332,832215909146226688,0,6833
333,832215726631055365,0,10357
334,832088576586297345,72,2
335,832040443403784192,0,10750
336,832032802820481025,19149,5158
337,831939777352105988,25736,6795
338,831926988323639298,365,36
339,831911600680497154,29645,7216
340,831670449226514432,11199,2005
341,831650051525054464,7713,2163
342,831552930092285952,9675,2545
343,831322785565769729,9841,1684
344,831315979191906304,6976,1231
345,831309418084069378,12555,2694
346,831262627380748289,12781,2269
347,830956169170665475,8555,1665
348,830583320585068544,71821,18664
349,830173239259324417,0,6319
350,830097400375152640,10546,3342
351,829878982036299777,0,5561
352,829861396166877184,13154,2175
353,829501995190984704,34085,11751
354,829449946868879360,11243,2253
355,829374341691346946,37223,10334
356,829141528400556032,26353,8219
357,829011960981237760,56932,17997
358,828801551087042563,0,3771
359,828770345708580865,27472,6516
360,828708714936930305,39339,12439
361,828650029636317184,10223,1491
362,828409743546925057,6755,1273
363,828408677031882754,8212,1419
364,828381636999917570,13570,2463
365,828376505180889089,7943,1181
366,828372645993398273,13472,3248
367,828361771580813312,2357,190
368,828046555563323392,12652,3174
369,828011680017821696,11139,2375
370,827933404142436356,21676,5795
371,827653905312006145,16624,3331
372,827600520311402496,7980,1050
373,827324948884643840,17106,3400
374,827199976799354881,11388,2490
375,826958653328592898,23264,5561
376,826848821049180160,39331,11408
377,826615380357632002,0,4372
378,826598799820865537,5511,283
379,826598365270007810,10840,2606
380,826476773533745153,19829,4668
381,826240494070030336,14280,2877
382,826204788643753985,5250,1044
383,826115272272650244,16900,3477
384,825876512159186944,11276,2078
385,825829644528148480,13720,2766
386,825535076884762624,56076,19136
387,825147591692263424,19736,5092
388,825120256414846976,0,1434
389,825026590719483904,6860,1434
390,824796380199809024,0,6105
391,824775126675836928,16160,3929
392,824663926340194305,10865,1935
393,824325613288833024,12706,11561
394,824297048279236611,16218,4299
395,824025158776213504,5154,659
396,823939628516474880,11494,3016
397,823719002937630720,0,12545
398,823699002998870016,13572,2694
399,823581115634085888,14072,2951
400,823333489516937216,754,29
401,823322678127919110,16997,4491
402,823269594223824897,0,10994
403,822975315408461824,18693,3833
404,822872901745569793,143084,48998
405,822859134160621569,14264,2546
406,822647212903690241,0,7140
407,822610361945911296,15955,3302
408,822489057087389700,19607,7140
409,822462944365645825,30915,16471
410,822244816520155136,37894,10994
411,822163064745328640,0,5380
412,821886076407029760,12288,2618
413,821813639212650496,0,3730
414,821765923262631936,9117,1856
415,821522889702862852,8673,1967
416,821421320206483457,0,6241
417,821407182352777218,12749,4870
418,821153421864615936,276,10
419,821149554670182400,9455,2248
420,821107785811234820,10395,2378
421,821044531881721856,13671,2553
422,820837357901512704,0,7480
423,820749716845686786,34190,11099
424,820690176645140481,13213,3599
425,820494788566847489,0,633
426,820446719150292993,0,2882
427,820314633777061888,3610,633
428,820078625395449857,21426,7020
429,820013781606658049,0,1324
430,819952236453363712,5767,1324
431,819924195358416896,13938,5415
432,819711362133872643,14566,3502
433,819588359383371776,10356,2201
434,819347104292290561,7821,1341
435,819238181065359361,2483,453
436,819227688460238848,25042,7480
437,819015337530290176,0,40943
438,819015331746349057,0,21119
439,819006400881917954,48857,21119
440,819004803107983360,93517,40943
441,818646164899774465,0,23319
442,818627210458333184,24054,8328
443,818614493328580609,10695,2888
444,818588835076603904,0,6889
445,818536468981415936,11846,2774
446,818307523543449600,0,9087
447,818259473185828864,11943,2549
448,818145370475810820,13326,2904
449,817908911860748288,5241,884
450,817827839487737858,56273,30337
451,817777686764523521,11601,2980
452,817536400337801217,12802,3396
453,817502432452313088,0,3800
454,817423860136083457,37195,16807
455,817415592588222464,6101,1079
456,817181837579653120,0,9542
457,817171292965273600,9460,2252
458,817120970343411712,13176,2929
459,817056546584727552,9286,1849
460,816829038950027264,0,5294
461,816816676327063552,10842,2285
462,816697700272001025,10633,2462
463,816450570814898180,33182,9087
464,816336735214911488,9344,2191
465,816091915477250048,9688,2412
466,816062466425819140,0,1176
467,816014286006976512,0,5954
468,815990720817401858,5422,1176
469,815966073409433600,24408,9542
470,815745968457060357,0,4630
471,815736392542261248,10688,2540
472,815639385530101762,8932,1843
473,815390420867969024,11226,4260
474,814986499976527872,8292,1450
475,814638523311648768,12252,3039
476,814578408554463233,0,6529
477,814530161257443328,9418,2080
478,814153002265309185,31226,9754
479,813944609378369540,0,3618
480,813910438903693312,10093,2113
481,813812741911748608,39486,15730
482,813800681631023104,9072,1978
483,813217897535406080,20323,8176
484,813202720496779264,9972,2017
485,813187593374461952,21583,4904
486,813172488309972993,10158,2160
487,813157409116065792,8422,2485
488,813142292504645637,9143,2645
489,813130366689148928,4854,497
490,813127251579564032,12905,3515
491,813112105746448384,11239,3097
492,813096984823349248,11440,4059
493,813081950185472002,10736,3111
494,813066809284972545,8643,2180
495,813051746834595840,22778,8217
496,812781120811126785,8228,2138
497,812747805718642688,0,7798
498,812709060537683968,7205,1606
499,812503143955202048,6613,1376
500,812466873996607488,8704,2165
501,812372279581671427,14888,4119
502,811985624773361665,7913,1582
503,811744202451197953,8214,1813
504,811647686436880384,6064,832
505,811627233043480576,13945,3520
506,811386762094317568,22758,7189
507,810984652412424192,5813,1606
508,810896069567610880,9846,2009
509,810657578271330305,11937,2962
510,810284430598270976,38643,12852
511,810254108431155201,15980,3771
512,809920764300447744,16853,4372
513,809808892968534016,0,5518
514,809448704142938112,7539,1654
515,809220051211603969,21712,6319
516,809084759137812480,14385,3941
517,808838249661788160,10998,3416
518,808733504066486276,8605,2435
519,808501579447930884,12292,2915
520,808344865868283904,46266,23319
521,808134635716833280,0,6709
522,808106460588765185,9491,2452
523,808001312164028416,13691,3963
524,807621403335917568,15884,4139
525,807106840509214720,122728,60957
526,807059379405148160,0,8258
527,807010152071229440,14185,4287
528,806629075125202948,81955,39325
529,806620845233815552,0,6205
530,806576416489959424,5272,2168
531,806542213899489280,11122,2666
532,806242860592926720,0,13162
533,806219024703037440,6985,1348
534,805958939288408065,0,6041
535,805932879469572096,8998,2134
536,805826884734976000,7167,2063
537,805823200554876929,0,9072
538,805520635690676224,6246,1859
539,805487436403003392,9552,2846
540,805207613751304193,8474,1909
541,804738756058218496,14970,4332
542,804475857670639616,6711,2265
543,804413760345620481,0,3614
544,804026241225523202,48619,18250
545,803773340896923648,10964,3112
546,803692223237865472,0,8360
547,803638050916102144,11978,4669
548,803380650405482500,8452,2088
549,803321560782307329,0,6008
550,803276597545603072,10939,2779
551,802952499103731712,9834,2257
552,802624713319034886,0,3291
553,802600418706604034,7759,1650
554,802572683846291456,9751,2822
555,802323869084381190,17726,6579
556,802265048156610565,6907,1523
557,802239329049477120,9888,2927
558,802185808107208704,0,303
559,801958328846974976,8427,1924
560,801854953262350336,1916,262
561,801538201127157760,8937,2315
562,801285448605831168,6610,935
563,801167903437357056,26753,6709
564,801127390143516673,0,4480
565,801115127852503040,8806,2351
566,800859414831898624,753,108
567,800855607700029440,0,1835
568,800751577355128832,11450,3120
569,800513324630806528,14331,3385
570,800459316964663297,10302,2417
571,800443802682937345,0,4871
572,800388270626521089,12161,3150
573,800188575492947969,0,4430
574,800141422401830912,16689,2882
575,800018252395122689,30975,14846
576,799774291445383169,0,5285
577,799757965289017345,9174,2433
578,799422933579902976,8775,2148
579,799308762079035393,0,6238
580,799297110730567681,10820,3127
581,799063482566066176,8819,2767
582,798933969379225600,14371,5047
583,798925684722855936,8095,1616
584,798705661114773508,0,7461
585,798701998996647937,0,8812
586,798697898615730177,0,7329
587,798694562394996736,0,5602
588,798686750113755136,0,2614
589,798682547630837760,0,5332
590,798673117451325440,0,6249
591,798665375516884993,0,4375
592,798644042770751489,0,2085
593,798628517273620480,0,2211
594,798585098161549313,0,6437
595,798576900688019456,0,6638
596,798340744599797760,0,3789
597,798209839306514432,11321,2869
598,797971864723324932,12719,3539
599,797545162159308800,15843,5461
600,797236660651966464,21821,7459
601,797165961484890113,249,31
602,796904159865868288,0,10044
603,796865951799083009,8370,2138
604,796759840936919040,12949,3444
605,796563435802726400,0,8240
606,796484825502875648,8274,1981
607,796387464403357696,12031,4688
608,796177847564038144,0,16125
609,796149749086875649,35349,16125
610,796125600683540480,5400,2010
611,796116448414461957,9919,2724
612,796080075804475393,9226,2605
613,796031486298386433,11790,4156
614,795464331001561088,54406,26838
615,795400264262053889,11023,3230
616,795076730285391872,17724,6105
617,794983741416415232,0,3806
618,794926597468000259,11217,2610
619,794355576146903043,0,11597
620,794332329137291264,10437,2977
621,794205286408003585,10053,3738
622,793962221541933056,18398,5518
623,793845145112371200,10052,2112
624,793614319594401792,0,3523
625,793601777308463104,8704,1843
626,793500921481273345,11678,2685
627,793286476301799424,26900,10357
628,793271401113350145,9425,2655
629,793256262322548741,21805,9371
630,793241302385262592,11502,3700
631,793226087023144960,10731,3220
632,793210959003287553,9750,3167
633,793195938047070209,16681,6330
634,793180763617361921,7551,2234
635,793165685325201412,10258,3129
636,793150605191548928,6744,1924
637,793135492858580992,7045,2794
638,793120401413079041,13850,4387
639,792913359805018113,15670,4522
640,792883833364439040,12345,4810
641,792773781206999040,8024,1890
642,792394556390137856,14735,4830
643,792050063153438720,7840,2021
644,791821351946420224,0,23663
645,791784077045166082,0,10894
646,791780927877898241,0,4273
647,791774931465953280,49244,25017
648,791672322847637504,12827,3523
649,791406955684368384,14339,4630
650,791312159183634433,9589,2857
651,791026214425268224,0,4650
652,790987426131050500,10812,2404
653,790946055508652032,18134,5294
654,790723298204217344,0,2611
655,790698755171364864,8945,2142
656,790581949425475584,22576,8062
657,790337589677002753,8540,2102
658,790277117346975746,13710,3618
659,790227638568808452,0,4027
660,789986466051088384,10102,2611
661,789960241177853952,0,4679
662,789903600034189313,11358,4657
663,789628658055020548,8219,1999
664,789599242079838210,7400,2178
665,789530877013393408,12844,3806
666,789314372632018944,9404,2596
667,789280767834746880,0,5578
668,789268448748703744,9944,2914
669,789137962068021249,10598,3138
670,788908386943430656,29880,13951
671,788765914992902144,29948,11597
672,788552643979468800,0,8137
673,788412144018661376,17010,5963
674,788178268662984705,7889,2387
675,788150585577050112,6710,1462
676,788070120937619456,0,3837
677,788039637453406209,6705,1490
678,787810552592695296,9466,3432
679,787717603741622272,11134,3126
680,787397959788929025,11822,3187
681,787322443945877504,8510,1965
682,787111942498508800,0,7537
683,786963064373534720,28991,9007
684,786729988674449408,0,2727
685,786709082849828864,19845,6833
686,786664955043049472,11644,2885
687,786595970293370880,10260,3489
688,786363235746385920,11899,3944
689,786286427768250368,8704,3223
690,786233965241827333,16717,5380
691,786051337297522688,1567,174
692,786036967502913536,0,7940
693,785927819176054784,12397,3544
694,785872687017132033,7289,2056
695,785639753186217984,8521,2486
696,785533386513321988,9942,2264
697,785515384317313025,6649,1421
698,785264754247995392,7918,1847
699,785170936622350336,13193,5464
